Rank,Prime,Predicted_Zeta,Closest_Zeta,Deviation
1,99989,0.000000,0.000000,0.000000
2,29473,0.000000,0.000000,0.000000
3,29443,0.000000,0.000000,0.000000
4,29437,0.000000,0.000000,0.000000
5,29429,0.000000,0.000000,0.000000
6,29423,0.000000,0.000000,0.000000
7,29411,0.000000,0.000000,0.000000
8,29401,0.000000,0.000000,0.000000
9,29399,0.000000,0.000000,0.000000
10,29389,0.000000,0.000000,0.000000
11,29387,0.000000,0.000000,0.000000
12,29383,0.000000,0.000000,0.000000
13,29363,0.000000,0.000000,0.000000
14,29347,0.000000,0.000000,0.000000
15,29339,0.000000,0.000000,0.000000
16,29333,0.000000,0.000000,0.000000
17,29327,0.000000,0.000000,0.000000
18,29453,0.000000,0.000000,0.000000
19,29483,0.000000,0.000000,0.000000
20,29683,0.000000,0.000000,0.000000
21,29501,0.000000,0.000000,0.000000
22,29669,0.000000,0.000000,0.000000
23,29663,0.000000,0.000000,0.000000
24,29641,0.000000,0.000000,0.000000
25,29633,0.000000,0.000000,0.000000
26,29629,0.000000,0.000000,0.000000
27,29611,0.000000,0.000000,0.000000
28,29599,0.000000,0.000000,0.000000
29,29587,0.000000,0.000000,0.000000
30,29581,0.000000,0.000000,0.000000
31,29573,0.000000,0.000000,0.000000
32,29569,0.000000,0.000000,0.000000
33,29567,0.000000,0.000000,0.000000
34,29537,0.000000,0.000000,0.000000
35,29531,0.000000,0.000000,0.000000
36,29527,0.000000,0.000000,0.000000
37,29311,0.000000,0.000000,0.000000
38,29303,0.000000,0.000000,0.000000
39,29297,0.000000,0.000000,0.000000
40,29287,0.000000,0.000000,0.000000
41,29101,0.000000,0.000000,0.000000
42,29077,0.000000,0.000000,0.000000
43,29063,0.000000,0.000000,0.000000
44,29059,0.000000,0.000000,0.000000
45,29033,0.000000,0.000000,0.000000
46,29027,0.000000,0.000000,0.000000
47,29023,0.000000,0.000000,0.000000
48,29021,0.000000,0.000000,0.000000
49,29017,0.000000,0.000000,0.000000
50,29009,0.000000,0.000000,0.000000
51,28979,0.000000,0.000000,0.000000
52,28961,0.000000,0.000000,0.000000
53,28949,0.000000,0.000000,0.000000
54,28933,0.000000,0.000000,0.000000
55,28927,0.000000,0.000000,0.000000
56,29123,0.000000,0.000000,0.000000
57,29129,0.000000,0.000000,0.000000
58,29131,0.000000,0.000000,0.000000
59,29207,0.000000,0.000000,0.000000
60,29269,0.000000,0.000000,0.000000
61,29251,0.000000,0.000000,0.000000
62,29243,0.000000,0.000000,0.000000
63,29231,0.000000,0.000000,0.000000
64,29221,0.000000,0.000000,0.000000
65,29209,0.000000,0.000000,0.000000
66,29201,0.000000,0.000000,0.000000
67,29137,0.000000,0.000000,0.000000
68,29191,0.000000,0.000000,0.000000
69,29179,0.000000,0.000000,0.000000
70,29173,0.000000,0.000000,0.000000
71,29167,0.000000,0.000000,0.000000
72,29153,0.000000,0.000000,0.000000
73,29147,0.000000,0.000000,0.000000
74,29671,0.000000,0.000000,0.000000
75,29717,0.000000,0.000000,0.000000
76,28909,0.000000,0.000000,0.000000
77,30313,0.000000,0.000000,0.000000
78,30293,0.000000,0.000000,0.000000
79,30271,0.000000,0.000000,0.000000
80,30269,0.000000,0.000000,0.000000
81,30259,0.000000,0.000000,0.000000
82,30253,0.000000,0.000000,0.000000
83,30241,0.000000,0.000000,0.000000
84,30223,0.000000,0.000000,0.000000
85,30211,0.000000,0.000000,0.000000
86,30203,0.000000,0.000000,0.000000
87,30197,0.000000,0.000000,0.000000
88,30187,0.000000,0.000000,0.000000
89,30181,0.000000,0.000000,0.000000
90,30169,0.000000,0.000000,0.000000
91,30161,0.000000,0.000000,0.000000
92,30139,0.000000,0.000000,0.000000
93,30307,0.000000,0.000000,0.000000
94,30319,0.000000,0.000000,0.000000
95,29723,0.000000,0.000000,0.000000
96,30323,0.000000,0.000000,0.000000
97,30509,0.000000,0.000000,0.000000
98,30497,0.000000,0.000000,0.000000
99,30493,0.000000,0.000000,0.000000
100,30491,0.000000,0.000000,0.000000
